#Tb,clkfile,texp,binfile
160.45,p02n00001,0.1,20230203-113708.bin
160.45,p02n00010,1.0,20230203-113821.bin
160.45,p02n00050,5.0,20230203-113943.bin
#
165.24,p02n00001,0.1,20230203-115609.bin
165.06,p02n00010,1.0,20230203-115701.bin
164.94,p02n00050,5.0,
#
165.24,p02n00001,0.1,
165.06,p02n00010,1.0,
164.94,p02n00050,5.0,







